Cust_Reviews,Brands,Polarity
Great phone,huawei,1
I satisfied with this phone.,huawei,1
It drops the internet all day it's the phone cuz I've heard of this provider forever and once I bought this phone and started doing this weird stuff,huawei,0
"Great phone and fast.
Almost a premium style device but for mid range price tag.
Very good battery life.",huawei,1
"Great camera phone, fast and reliable!",huawei,1
Usual use of a phone + photos. Quality of both is superb.,huawei,1
"Good phone, horrible Camera",huawei,0
"The screen is very fragile, not recommended at all",huawei,0
"Perfect Design, Perfect Camera, Perfect Picture/Video Quality, Perfect Everything, Perfect Phone!",huawei,1
"Way better than the iPhone 7 plus I had before but just cost around $270, excellent cameras and Retina display, beautiful screen themes, fast and smooth browsing",huawei,1
"Phone works great. Camera works, fingerprint works. Camera is good quality. Battery lasts long.",huawei,1
This is my second Huawei mobile and I promise there will be a third based on the performance of this P30.,huawei,1
Excelente celular,huawei,1
I even received the replacement opened box I paid for new item and I get opened box item,huawei,0
This phone is absolutely amazing especially for the price,huawei,1
The phone has alot of features and the cameras are decent especially the front/selfie camera. Picture quality is clean and not distorted.,huawei,1
Love it!,huawei,1
the best is light weight.i used iphone for 9 year and feel like it is worth to change,huawei,1
"The cell is perfect, but the seller is not. The headset is not original, so bad.",huawei,0
It came just in time when my old Windows phone will no longer be supported by Microsoft. it is my every day phone and will be connected to my home surveillance equipment.,huawei,1
Never cooperate with techno masters.,huawei,0
My phone works very well. The battery life is awesome and the camera quality is excellent.,huawei,1
Good,huawei,1
Loved It the only thing is rhat I though It would come With an europea charger. Should've asked.,huawei,1
Great security and the battery lasts me all day the camera quality is defend but you can't expect more at this price point,huawei,1
Loving my new phone. I was skeptical to buy it because it may not work with Metro Pcs but it worked. Phone is easy to use. Perfect!,huawei,1
Happy with its performance,huawei,1
simply the best android phone in the market!,huawei,1
Omg this phone is seriously frezzing all the time my camera doesn't want to work as soon as I go on it takes me out,huawei,0
Good phone worjsbgreat,huawei,1
performance wise is really good. better than my previous iPhone,huawei,1
"Nice phone does amazing things. U.S. carriers will not offer service because of trade war with China. Had to return it for that reason, Sprint will not offer service.",huawei,1
Good phone! No longer d9 I have to jugglebetween which apps 8 should keep when space runs low.,huawei,1
"Phone stopped working completely after two days of using it!
Couple of timew it turned on by itself, and thats it, cannot even turn it on now.",huawei,0
Good,huawei,1
My fiance bought this since he has the older version of it. He likes it a lot.,huawei,1
Good,huawei,1
"The best phone I ever had,",huawei,1
Great phone but It had problems with the audio,huawei,1
something wrong speaker put case person call hardly hear say sound muffled work fine speaker phone everything else seems work fine,Iphone,0
Problem de conexión al Internet,huawei,0
Bad,huawei,0
Great product ,huawei,1
Bought it for my mom she loves it,huawei,1
Love this phone,huawei,1
Ok,huawei,1
Camera very good! But battery faster go down! I did not know why?,huawei,1
It doesn't connect to 5g. Nothing I want to watch or listen to loads.,huawei,0
"When I received the box, the sealed was already broken! VERY DISAPPOINTED!!!",huawei,0
So good,huawei,1
Best phone for this price,huawei,1
I like it,huawei,1
It is good for my father,huawei,1
Everything fine,huawei,1
The quality of images is amazing,huawei,1
I will definitely buy again,huawei,1
Very good,huawei,1
item shipped fast battery life horrible hold charge 2 hour,Iphone,0
"great phone. need good case for the screen, like all modern cell phones.",huawei,1
"Very satisfied with the phone, excellent phone quality price.",huawei,1
Really good price and quality,huawei,1
5ghz wifi not working,huawei,0
Great product!,huawei,1
Great product. It is better that I expect it to be. Thanks,huawei,1
"I have zero problems with it, its exactly how it is advertised.",huawei,1
The RAM is not enough for daily use.,huawei,0
"Excellent phone. Bought it as a gift, and my friend is delighted!",huawei,1
charger work speaker mess,Iphone,0
This product is very useful and it's related to iPhone,huawei,1
Perfecto,huawei,1
Slow prossesor,huawei,0
Great screen,huawei,1
So far so good,huawei,1
Excellent,huawei,1
"Great battery life, quality photos, mainly selfies.",huawei,1
Good product,huawei,1
"Woww great mobile, great price, is more I expected. Thank Amazon.",huawei,1
Cheap but powerful enough,huawei,1
horrible even turn charge,Iphone,0
Don't waste your money,huawei,0
"light, fast and long battery life. work pretty well with T-mobile.",huawei,1
Love battery life,huawei,1
"Excellent, product is good.. recommended",huawei,1
bought friend never worked serial number invalid believe complete fake,Iphone,0
amazing phone for the price,huawei,1
Ok,huawei,1
Good phone,huawei,1
Good,huawei,1
I like it,huawei,1
Better than i thought,huawei,1
So far it's amazing,huawei,1
Love it,huawei,1
badass,huawei,0
Good phone,huawei,1
This phone is just amazing 😍👌highly recommended,huawei,1
"I have a doubt. I have read in several official Huawei publications and they stated that the Huawei P30 Lite has 3 rear cameras with the following characteristics 48 + 8 + 2MP, in your publication says the resolution is: 24 MP + 8 MP + 2 MP.
Which one is correct?",huawei,0
What the hell?,huawei,0
Good everything is excellent,huawei,1
The phone came in spanish and I looked for usa it was not there I got the international phone and it was plastic not glass and light weight I had the huawei mate 10 pro but it came to me broken but what a difference the mate 10 pro was amazing. This phone I never used more than 2 minutes it went right back to ups as soon as it went back in the box.,huawei,1
Thought the camera would be better. It is still a great phone. Doesn't have password not draw pattern to unlock,huawei,1
charge phone look new charging issue second day using phone wont charge charger sent phone keep receiving message accessory may supported whenever plug really disappointed,Iphone,0
She particularly loves how well the selfie camera seems to make her look. Smh things that women find important.,huawei,1
"My old phone with 16 gb worked very well for me last three years, but my usage started to demand more storage. The price is right for this 128 gb phone. I had it for one day now. Overall, I am quite happy with it. The lag time doing in negotiation is quite negligible to me and flow is quite smooth. I do not know how good the camera is, although the few pictures and videos I took were quite acceptable. I generally used a Canon SLR camera for photos, and this is just to be used for quickie and convenient use only. It did not detect my 5g or AC wifi, but somebody in the review has always pointed out, so it is within my expectation. Using speedtest with 2.4ghz wifi, I got 74.7 mbps download speed. I am not sure if it is just my cloud content or it is Google problem, but I like to warn that if you Google backup to install all the apps previously installed in the other phone, it created a display sleep problem. The phone would go to sleep every eight seconds if there was no activity, no matter what battery performance or sleep timeout setting I changed to. I had to solve the problem by resetting the phone to the original factory setting and reinstalling each application manually one by one through the play store. I got the solution from other users in the internet having the similar problem with Huawei phone and other brands phones so this maybe a common problem with the Google backup. Likely, it could be the content stored in this backup, but I do not care to find out as I do not have the problem any more. It also seems that I have an easier time to synchronize the windows 10 contact and calendar apps through the outlook.com with the phone built-in contact and calendar apps, than my old phone. It took me about three hours to re-install all the apps, about 40 of them and to complete the email, contact and calendar setups.",huawei,1
"I was one of the last holdouts with a windows phone, and knew I had to buy something to replace it. I had android years ago, so I thought I would just go back to it, plus apple doesn't make products in this price range really. My biggest fear was trying to transfer data, and it did prove to be trying and not completely successful. Got photos, music (had to buy a converter from wma to aac format) and my ringtone ok. Only got sms texts transferred using an app, but lost my mms and contacts. Oh well, I just made do. I am a very light smart phone user so..... not a big deal.
This phone itself, I really like. Ultimately popped in the sim card from windows phone and this one took off. Screen is great for me, I got my apps loaded and I am very satisfied with this phone. Photos are certainly good enough. I cannot seem to figure out how to get a shadow screen to open up when I take it out of my pocket, I always have to push the button. Probably a security thing. I don't use the fingerprint scanner, opted out of that so I cannot comment on it. Like that it has a headphone jack, and I added a 128 sd card.
I am a light user of this phone. I am not on it constantly. Probably twenty texts a day, the occasional phone call, some news reading, etc. So far the battery has lasted days for me. At least 3, and I was still at 40%. I turn off location, bluetooth and notifications since I don't use them daily and I am sure that helps with the battery.
This phone is faster than my nokia windows phone (950) which was one of their better phones at the time. For under $300 I think this is a fantastic phone. My understanding is that this phone will be supported into the future, even if Huawei is banned from Google support, as a kind of grandfathering for products already in consumer hands. It is a pretty phone (peacock blue) and feels solid to me. I wouldn't hesitate to buy another.
UPDATE 8/27/2019 As this is an international version, the android stuff is not as up to snuff as getting a US Version phone from ATT. One thing that I noticed after some use which bugged me, is that the resolution of the attached photos I would send in the messaging app was very poor. Blurry and no detail, it really toned down the resolution. The answer was to change messaging apps from the stock android to something else. I tried TEXTRA, and voila, the photo resolution improved immensely. Problem solved.",huawei,1
I really like this phone. The features on this phone are pretty cool. I love the phone clone app that allowed me to download my call logs and text messages from my old phone. Also I have AT&T service and I did not need to call AT&T to activate my phone I just put in the SIM card and the phone worked. I like the features of the scrolling screenshot and the time limit that you can set on screen time. the camera on this phone is much better then the camera on my LG Stylo 4 I had previously. However the camera is not as good as my husband's LG G5. Setting up the fingerprint scanner was easy and fast and I like that it allows me fast access to the phone. Overall I am giving this phone 5 stars. also as a side note the case and screen protector that is included with the phone and the headphones are not the greatest quality but they are good enough to get you started and hold you over until your case arrives. I ordered a love mei case to go with this phone and it is an excellent fit.,huawei,1
Best performance at the best price.,huawei,1
This phone is wonderful. It unlocks via fingerprint faster than any phone i've ever held. Load of space as well,huawei,1
Great batt life and fullest clearest screen I have ever had. Response time is very good with a excellent amount of memory 128 GB holds all my music and photos. Great phone at a great price. Much better than the NOVA 3i that I returned.,huawei,1
"I bought two phones to compare one was p30 lite another one pixel 3xl . Pixel cost around 400$ and p30 lite 260-290$. In my opinion pixel won( camera resolution, screen, google storage, google services).
FYI
Network test T-mobile.
The biggest disappointment was that p30 lite 4G LTE test was 2-3x less that pixel 3 xl. p30 lite-on the T-mobile network gets 4-8mbps and pixel 3xl around 20-25mbps.
P30 lite not bad phone if you compare phones under 300$.",huawei,0
"False name, Huawei nova4e lied Huawei p30, deceptive behavior",huawei,0
"I bought this phone and discovered that this particular variant sold does
not have 5 Ghz wifi support. I decided to return it. This is a great phone
but the lack of 5Ghz wifi is a deal breaker. You are warned. Note that I
did talk to a Amazon customer service person and she confirmed that after
checking with Huawei. BTW, the official LX3A model specs appeared to list 5Ghz
wifi support, but it appeared that variants of this model sold for certain countries
like Brazil and Canada do not have 5Ghz capability.",huawei,1
"Didn't like the plastic body. Looks cheap and feels cheap in my hand. Get the honor or nova made way better I don't like the charger. I like that the phone is fast, picture quality is outstanding for a budget phone, and it wakes when picked up.",huawei,1
I previously lost my huawei y9 2019 phone. I purchased a replacement that was cheaper but the thing irritated me because it lagged badly. I purchased this phone and I love it. Takes me right where I need it without lagging. Just a great phone. After my first huawei I'm definitely a big fan,huawei,0
"Even though this model has 4G ram only, the performance is supra. The face recognition and finger print lock is 2 generations ahead of Samsung, and the over all experience is much better than iPhone. And it is very cool to have a phone that's almost banned. It will become a must-have for the underground community.",huawei,1
"I had old Nexus P6 for 3 years the performance is slow and the battery sucks. So i was very hesitate to buy another Huawei phone. But for $320 for this unlocked P30 lite, nobody can beat this price. I used the phone for 3 weeks now and it is AWESOME. The pearl blue is shining and outstanding. Migrating the data from my old phone to new phone is fairly easy. The battery life is just unbelievable. I using all day and it only consumed 30%. Tons tons of other features to be explored. But I like this phone!",huawei,1
"Love the phone and after having galaxy s6, s7edge, s8, s10 I would pick another Huawei over a Samsung any day. I don't have to clean my phone or clear cache's nearly as often and never seem to get any type of virus's. Also the screen is still in tact after 6mos. which says a great deal about it as I do construction and it doesn't matter what type case's I've had I have broken all of my screens. I bought a cheap case with this phone and screen protector and have dropped it too many times and it's been a real trooper. I just like everything about the phone better than the Samsungs & LG's I've had in the past. Thanx Huawei and Amazon",huawei,1
I know this is a cheaper version of the P30 pro but come on at least make the Wifi good. I relalized that their products dont have the ability to connect to 5ghz wifi networks. They only connect to 2.4ghz wifi networks. So if u only have 5ghz networks then this might not be that good of a phone. The fingerprint reader is indeed pretty quick but the battery life is lacking. I had their mate 10 and the battery last way longer than this product. I thought it would be better and last longer but i was wrong. Overall this is a 6.5/10 phone for its price. The camera was not as good as my mate10 pro.,huawei,1
"What a wonderful phone, the fingerprint reader is awesome. A huge upgrade from my previous phone, so far I have not had any technical issues with my phone, everything seems to be working smoothly. I really love the storage capacity. Best of all is the camera.",huawei,1
Buy it,huawei,1
Just switched from iPhone to Huawei. Everything sounds good with AT&T. Will update later.,huawei,1
"Great storage space. Beautiful camera. Unlocked, works for T-Mobile. Great phone for a cheap price. Battery lasts for about 2-3 days depending on usage. Bright screen. Pictures are great and sharp, especially when you have good lighting to assist you.",huawei,1
"Support dual sim cards, long battery life, excellent camera(s), bright screen, a good speaker that can fill a room with sound and everything from an android system. What else do you expect?",huawei,1
Fantastic to look at & use. Took 5 minutes to transfer my data from the old phone to Huawei P30 (just download Phone Clone app by Huawei) eezy-peezy! Just plugged in my T-mobile sim card and there my new phone is rolling... :) Decent photos too. Really nice color too (peacock color) with free transparent case. JGM Star is a very good seller!,huawei,1
"bought for my wife, now i'm jealous. I wish it would have wifi calling option, then i would buy it for myself, but i work in a bunker, so have to use stupid samsung",huawei,0
got mom problem far almost 2 month,Iphone,0
Ok,huawei,1
So cool and fast delivery,huawei,1
"I have 4 months with the equipment and for 1 month the equipment has been heated with daily use and when I put it to charge the battery, I do not understand why this happens, the charger is the original with which I bought it and does not use the team for long hours and still heats up",huawei,0
"Product info as advertised, like the screen resolution",huawei,1
I bought this phone and it does not work nearly anywhere in the states. Do not buy if you live in US. I've had other Huawei and honor phones that worked fine but this one doesn't work nearly at all.,huawei,0
Phone is great if you don't need to connect to 4G Internet.... Or any I ternet for that matter. Can't message or receive messages while away from home or not actually signed into someone's network. Useless really. Keyboard is made for hobbit fingers.,huawei,0
"Excellente phone for the price. A lot of space for applications and pictures. I'm able to play call of duty mobile without any problems. Picture quality is excellent, sometimes it lags but not a big deal.",huawei,1
Picked this up for the girlfriend! She loves it and loves the fact it doesn't look like everyone else's and is unique and it works flawlessly. Great camera and great reception and battery life!,huawei,1
Shipped with open box item. see photos.,huawei,0
"I can only say, I have no reason to go back to Samsung Motorola or Apple. Packed with features you will only get flagship phones from other companies. the only con I have; built-in battery",huawei,1
The color is so pretty. Got this for my mom because her old phone‘s battery was dead. This smart is pretty cool and worth the money :) the price is cheap but the quality is really good！highly recommend.,huawei,1
Just so well designed. Lot of storage too. Fast!,huawei,1
The only reason I didn't give it a five-star is because I am not very good at reading fine-print and this doesn't use any of the main carriers it works for services like boost,huawei,1
"Very good phone all round but the camera is just ok and the speed is just ok.
I traded up for a pixel 3a and an quite happy but if you prefer a better looking phone this is it",huawei,1
I have the phone for over a month now and I have no complaints. The picture quality is good for the price. I charge once per day (watch a lot of YouTube in between charge). The finger print reader only allow 1 finger. It would have been nice if I could have the option to code another finger but I guess the face recognition makes up for that,huawei,1
"What can I said? Just $280 got the wonderful phone. Whatever battery, screen resolution or the camera all better than Samsung. So valuable cell phone.",huawei,1
"This phone keeps dropping calls and cutting out for 5-10 seconds when in use. When you call someone sitting right next to you, or have them call you, the call will not go through. Return to sender.",huawei,0
"Got this phone because I had heard the camera was amazing, after using it for a month or 2 I can definitively say that the camera is not that great.",huawei,0
"Best phone I've ever owned, picture quality is great, so is the battery life, easy to operate, I was leary on buying a different Brand, but I love this Hauwei phone, would recommend it to anyone looking to purchase a phone.",huawei,1
Gave it as gift for my wife! Loves it!,huawei,1
know use phone price 700 look bad condition unfortunately take risk buy phone able see used happy purchase,Iphone,0
It was a cool device. I've got alot of respect for huawei. But this device was just to small and light compared to my OnePlus devices. Downgrading due to shattered back of my OnePlus 7 pro and financial woes.,huawei,0
I like this phone the camera is very good and very useful for me and the stuff is awesome just I can't see the pattern password system but I'm in love 😍 with it,huawei,1
abs value and worth the money... some feature has treat off for performance and resolution...,huawei,1
"I actually bout two for my family. The Huawei phones ta much, much better pictures than any phone out there. I own all Huawei phones and they are the finest phons out there no questions asked. The usgovernment has a very stupid position on these remarkable phones",huawei,1
"This phone feels good in the hand and looks nice with its display but do not be fooled by the triple camera set up, very poor quality in all settings. The glass back gives a nice flagship phone feel but stear clear of this model because it's absolutely worthless with the camera. Very disappointing especially coming from Huawei",huawei,1
"Fingerprint sensor is so incredibly fast. The cameras take beautiful, crisp pictures. In extremely pleased and would definitely recommend to anyone wanting Android OS with a screen that is big and bright for a low price.",huawei,1
I love this phone only complaint I have is I thought the display quality especially for videos would be a lot better too pixelated! 2nd the camera is decent biggest complaint NO NFC! And lastly when capturing screenshots they come out really blurry same for the video recording other than that pretty decent phone for the price,huawei,1
I like it! its a cool cell phone,huawei,1
Very nice phone and the best price,huawei,1
Good buy!,huawei,1
"Great smart phone. Great quality, great price.",huawei,1
I like the screen and camera. It's awesome.,huawei,1
This is an awesome phone glad I ordered it my last Huawei phone still working had it for 5 years. Can't live without it good price for a this phone,huawei,1
just switch from apple,huawei,1
Solid performance. Battery life is average. Great camera. Incredible price. Present for my wife who loves it!,huawei,1
Loving it so far...,huawei,1
Great phone. For the price,huawei,1
Good cellphone of media,huawei,1
Good,huawei,1
"Traveling to other countries, dual sim card, unlocked, good camera, 1 device only to keep track of. All for a reasonable price.",huawei,1
Excelente,huawei,1
Great phone .....,huawei,1
I love this phone. I purchased it a month ago. So far I am really happy with it. The phone is very fast and user friendly with long lasting battery and nice quality camera. I can't say anything negative about it.,huawei,1
Bought this for my husband & he is loving every bit of it .,huawei,1
"I got the phone for my girlfriend because she hates iPhones, she loves this phone, just as hi tech as the iPhone and a way better camera. Super clear and with great definition,I would definitely recommend this phone to fam and friends",huawei,1
2nd purchase. Good produc,huawei,1
phone 33 day stopped working reason paid 1000 phone unacceptable,Iphone,0
Works great,huawei,1
Great phone for the price! My wife likes it and the camera is amazing!,huawei,1
Have used the phone for a few weeks. Overall very good and met the expectations. Decent battery life and screen.,huawei,1
For the money you pay it is good phone. One very disappointing item is this phone does not support 5Ghz wifi.,huawei,1
to bad there isn't Wi-Fi calling this phone would be perfect for kids as its cheaper than most phones,huawei,1
Great phone,huawei,1
Great Deal = Great Product,huawei,1
This would be a great phone for that price with truly amazing feature...…...if only it worked for more than a few months. The screen suddenly froze and the phone is now stuck on a bootloop for no reason. Had two Huawei before and this never happened.,huawei,1
Good,huawei,1
"So far this is a amazing phone experience, really enjoy the camera. Only downside is there is no NFC so I can't use Google pay.",huawei,1
"The details should have indicated that 5GHz is not supported. Other than that, the phone works fine. The camera has very good quality.",huawei,1
Excellent phone,huawei,1
Great products. Cheap price,huawei,1
"We've had it for a few days and so far this is a great phone with an awesome screen and features, runs fast, looks nice, works with our network and you can't beat the price.
The phone is completely worth it the only thing I'm not completely in love with is the camera, is not bad it takes pretty good pictures but previously owned a zte axon 7 and the quality is lower on the Huawei Y9 which we don't mind honestly since this Huawei is not as expensive as the axon it is expected. But for the price is definitely a must buy we were weary of buying it because we saw a couple reviews and answers saying it might only take 2g or 3g but it received a 4g signal and everything works smoothly, we are currently using Cricket Wireless as our service provider. We had only purchased one phone to check if we like it and if it worked with Cricket and now we're ready to make another purchase because we loved it.",huawei,1
"This phone is exactly what I was looking for; A very large, bright screen, loud speaker (wish it had stereo speakers, but hey, no complaints here) and even with 3 gigs of RAM, it's still fast with the Kirin 710 processor. Also cames with Android Oreo out of the box. The Huawei cloud services that they offer isn't available in the US, but no big deal when Google keeps everything on their cloud. I did use the help app to ask some questions about settings and got answers back within in a few hours from Huawei's help team. Overall, a great phone at a great price. BUY IT!",huawei,1
"Closest phone to the Honor 8x which isn't released in the US. The screen is huge, very bright. The design is beautiful with blue backing, though which it was glass like the 8x. The phone is fast and snappy though ram management is aggressive and you will be reloading apps. The battery life is phenomenal, lasts 2 days sometimes. People tell me at times they call me but I did not receive call, if it wasn't for that I would give 5 stars.",huawei,1
"At this price point, you can't go wrong. This is a quality phone without doubt. Large screen with good color saturation and clarity. Good sound. A plethora of native settings to tweak the phone to suit your visual and performance needs. This is a not a Samsung Note 10! But for the features and performance at a little over $200, this ""beats the brakes off"" a phone that cost $600 more.",huawei,1
I dislike the fact that the ID I'm supposed to use with the phone isn't even available where I registered the phone.,huawei,0
"Absolutely, worth buying. Phone has a smooth processor at that and runs very smoothly. It even has 64GB in internal storage who can beat that, and it's Dual Sim Card along with ability to take moving pictures. An option not available on the Huawei Y7 2019. I absolutely prefer the Huawei Y9 2019 over the Huawei Y7 2019.
Your videos show clear as daylight, I'm able to stream videos at 1020p now! I wasn't able to on the Huawei Y7 2019, now I can 😁. I'm definitely glad I made the switch.
I totally give this phone a rating of 5 stars. The processor and overall performance of this phone up there with phones that range between $500-$800. Definitely recommended individuals to purchase this beautiful device.
Sidenote: I bought my Huawei Y9 2019 in the condition of Used Like New and boy this phone has no issues whatsoever or blemishes.",huawei,1
Very poor phone... Battery is no good... Screen got freeze it self....don't buy it.... And I don't want your Refund..... Keep it for your self....,huawei,0
This hone was bought for my 9 year old sister. For the price it performs extremely well. Design is sleek and classy. Screen is big and bright. Speakers are quite loud.,huawei,1
Perfect! Quality of the thousand dollar phones for way less.,huawei,1
"I have been using smartphones since BB days from 2000.
The display, battery life, camera, speed exceptionally good. Comparable to iPhone X, my kids have it.
Bluetooth works with my speaker system as well the car, flawlessly
Few things would have been nice like power connector not so smooth, sometimes I get SMS messages few minutes late.
But the price is absolutely unbeatable. Display is like a white paper ( Kindle like)",huawei,1
"Love the phone, but can't give it 5 stars as I've discovered it's not eligible to register with cloud services. When you go to register it, it asks your country, and USA isn't a choice. I called support and they acknowledged that fact and said to transfer my photos, etc from my old phone I would have to install the app ""Phone Clone"" on both phones and go from there.",huawei,1
"I haven't even gotten to setting this phone up, I just had to post about what a surprise opening the box was! Included were a case, screen protector, a sim port key, charger, an American wall plug and earbuds!!! Holy cow! Such bang for the buck! I am truly impressed. I will never buy ""American"" again.",huawei,1
"Product was delivered precisely as described. The box was sealed after a fast delivery. After unboxing I was able to configure the language of the phone to my own language. Camera is pretty great and I can play smoothly games without lag. A micro simcard does not fit so I had to use a nano simcard. Now I can enjoy 3G, 4G and 4G+ in my country. Also a 3.5mm audio jack is great so I can listen to my favourite music.",huawei,1
"The operating system seems to work fast and fairly well. The only drawback is the battery life. If everything is turned on, the battery will run down pretty fast. I saw one guy on the web testing the battery life with the clock on this model. It's unbelievable.",huawei,1
Love the phone but my main issue is. Can anyone get straight talk working on this phone in u.s if so plz plz help with getting service. P.s i hve tried bootloader not working. Cant figure out how to get verizon off dis phone.,huawei,1
"Excellent phone. it is value of $1,000 or more. the best phone in the market of 2019. Great battery life.
after register for SIM Card is 4G LTE very fast, very responding, very smooth, every thing is excellent. I love it.",huawei,1
I am in love with this phone. Battery lasts forever.,huawei,1
I'm so disappointed...I've barely had this phone for 3 months and it no longer works. The display has blacked out and I cannot do anything on it. I don't recommend it.,huawei,0
Love this phone. Battery life is incredible and storage is so much better than my last phone. Can't find a better phone for the price!,huawei,1
Good,huawei,1
Not even the top model for Huawei Annie kicks the life out of any Samsung or Apple device,huawei,1
Great phone love it used all day with music at work from 8:20 to 4:30 ish come back home battery still on 86 % now that pretty f*** awesome I might say don't have to bring a charger with me as well and thats if your phone is fully charged up for that day.,huawei,1
"Big screen. Long battery. I wish it were a little bit faster, but it holds up well for the most part. Only ran into a few bugs here and there. Nothing a restart cant fix. It restarts very fast too. Decent camera quality. Overall, great for the price!",huawei,1
"Phone is amazing thus far. Set up was kind of difficult, but afterwards best phone I have had to date.",huawei,1
Phone is fast. No glitches. Takes great pics! Sound quality is great. I would recommend this phone.,huawei,1
Great phone. Super battery and easy connectivity with every nework. Good photos... Look beautiful !!!,huawei,1
Hubby loves it!,huawei,1
Not unlocked. Contacted multiple GSM networks. Contacted company and they couldn't care less.,huawei,0
This model is not working properly with metro PCS. I tried 2 different new phones. Often incoming call goes to voicemail,huawei,0
"I love the large screen, with so many great features and easy to navigate. Love the teal color too. I have Cricket cell phone service and everything transferred over very easy.",huawei,1
I got this for my ten year old. He's not complaining.,huawei,1
"Awesome phone, quality pictures!! Great buy",huawei,1
like it,huawei,1
unusable phone guaranteed least 80 battery life remaining received phone dead charger hour turned setting battery menu said 70 battery life phone shuts 93 charge spent 300 paperweight,Iphone,0
"It doesn't work with 4G in Afghanistan and may it won't in most Asian and European countries, I just waste my money for nothing",huawei,0
Nice big screen,huawei,1
great cell,huawei,1
Great phone highly recommend,huawei,1
"It was simply the best, it was unlocked to work in Honduras and everything is perfect.",huawei,1
I just love my new phone... I just can't wait to show it to my friends and I love all the features,huawei,1
Response time is awesome,huawei,1
Amazing phone I won't be going back to any other kind of phone!!,huawei,1
Very good celular by the cost. The camera could be better but is enough good.,huawei,1
"Good budget phone, work,s great, camera OK, bang for the bucks",huawei,1
Great phone. Blows everything else out the water for the price.,huawei,1
Awesome phone.,huawei,1
Very good celular by the cost. The camera could be better but is enough good.,huawei,1
perfect,huawei,1
"One of the phones does not work, does not get signal , and the camera does not work.",huawei,0
Large screen,huawei,1
Great phone everything as advertised,huawei,1
Nice phone 👍,huawei,1
Love this phone. Super customizable. Has Huawei and Google store. Comes with a case and headphones! Color is super cute. And the battery last all day with heavy use. The camera is not the worst but wish it was better in low light. Of course it's a budget phone but well worth money paid. Face ID sensor works great. The only downside is no nfc which means no Google pay as it is in a low of Huawei phones.... Due to security reasons which could be bogus. But overall an awesome piece of equipment. fits 2 SIM cards and excpandable storage! Huge bright and crisp display. I really like this phone!! 🙌,huawei,1
"Great phone for the money, can’t beat it.",huawei,1
"I bought it for my wife, she was delighted with the phone.
It is very fast, it does not lag,",huawei,1
Love this phone. Great battery,huawei,1
"Beautiful phone, very responsive, large screen, have not really had time to test the camera but it should be more than adequate. It's only been several days but very happy with the purchase",huawei,1
Amazing phone and great price,huawei,1
"Excellent product, fast service. The cell phone is very fast, plenty of storage.",huawei,1
"Nice Phone
My Daughter love it",huawei,1
Good product easy to operate.,huawei,1
It was perfect,huawei,1
Perfect,huawei,1
very nice phone,huawei,1
"First off, just want to say how helpful the seller is, I ordered this and due to an address issue it was returned and refunded. This was an issue on my end the seller was very responsive. I did order it again, it came next day as said.
Now about the phone, I'm really loving it. Fits in the hand very nicely, the cameras are amazing, the sound quality is decent. The back glass is stunning even more so in person. Great battery too.
In the end, I'm happy and don't regret ordering it twice!",huawei,1
My son loves everything about this phone. We live in Missouri and use AT&T service.,huawei,1
"100% satisfecho con el producto
Envío super rápido
Ninguna queja justo como la descripción
100% recomendado",huawei,1
my honor 20 didn't come with wonder outfit but the smartphone is very good and new,huawei,1
Great phone...,huawei,1
"I regret buying this phone. Too small. I'm use to the Honor 8x size and weight being that I can't get another one of those I'm trading this honor 20 in for the 9x, hopefully it's as great as my 8x was before it accidentally broke :-( never miss the water until the well run dry, man I should have gotten insurance 😂😂🤦‍♀️",huawei,0
Great pictures! Good phone at good price!,huawei,1
Funciona perfecto,huawei,1
Phone has really good camera. Works like a champ. But the service seems to be in and out. (t-mobile),huawei,1
Absolutely love this phone. Everyone asks where I got it.,huawei,1
"Seller assured me in writing it was fully T-Mobile compatible. I even paid extra for that. Even had a T-Mobile sticker placed over ATT sticker
1st problem - Booted up with ATT Logo.
2nd problem - I had to delete or shut off as much ATT CRAP that I could find.
3rd Problem - Does not support WiFi Calling, at all!
Called T-Mobile and spoke an engineer. Phone can't be made compatible. Hardware chipset for WiFi Calling is designed specificly for ATT. CAN'T be modified. Don't take my word for it. Try if you want. Just giving honest and technically accurate feedback.
Buyer beware if you have T-Mobile.
-BK",LG,1
"Using device in EU, phone is GSM unlocked and everything's working! The only thing you'll need is to set up APN to your specific mobile network provider and disable the AT&T bloatware. Flashing the phone with ULM kdz firmware is quite easy (tutorials can be found online) and has an option to keep the existing files. It will remove all the bloatware and make the phone eligible to the upcoming Android Pie update. Recommended!
Update (05.08.19.) - Can now be updatable to Android 9 by flashing firmware version V350ULM20D. [Aware - Existing files/applications will be removed. If necessary, an LG Backup can be made on SD card to later be restored.]",LG,1
"This is a wonderful phone at a great price. I refuse to spend the ridiculous amount of money that Samsung and Apple charges for their phones. This phone is just as good if not better! I have Cricket. Took it out of the box, plugged in my Sim card and it worked perfectly with no issues. Excellent battery life and great camera. There are tons of things you can do to customize it. It is the best phone I have ever owned! It also came in 1 day from Amazon with free Prime shipping!",LG,1
