,Cust_Reviews,Brands,Polarity,Positive,Negative
359,love the phone and after have galaxy s6 s7edge s8 s10 i would pick another huawei over a samsung any day i dont have to clean my phone or clear cache nearly as often and never seem to get any type of viruss also the screen be still in tact after 6mos which say a great deal about it as i do construction and it doesnt matter what type case ive have i have break all of my screen i buy a cheap case with this phone and screen protector and have drop it too many time and its be a real trooper i just like everything about the phone better than the samsungs lgs ive have in the past thanx huawei and amazon,huawei,1,1,0
360,i know this be a cheaper version of the p30 pro but come on at least make the wifi good i relalized that their products dont have the ability to connect to 5ghz wifi network they only connect to 24ghz wifi network so if u only have 5ghz network then this might not be that good of a phone the fingerprint reader be indeed pretty quick but the battery life be lack i have their mate 10 and the battery last way longer than this product i think it would be better and last longer but i be wrong overall this be a 6510 phone for its price the camera be not as good as my mate10 pro,huawei,1,1,0
361,what a wonderful phone the fingerprint reader be awesome a huge upgrade from my previous phone so far i have not have any technical issue with my phone everything seem to be work smoothly i really love the storage capacity best of all be the camera,huawei,1,1,0
362,buy it,huawei,1,1,0
363,just switch from iphone to huawei everything sound good with att will update later,huawei,1,1,0
364,great storage space beautiful camera unlock work for tmobile great phone for a cheap price battery last for about 23 days depend on usage bright screen picture be great and sharp especially when you have good light to assist you,huawei,1,1,0
365,support dual sim card long battery life excellent cameras bright screen a good speaker that can fill a room with sound and everything from an android system what else do you expect,huawei,1,1,0
366,fantastic to look at use take 5 minutes to transfer my data from the old phone to huawei p30 just download phone clone app by huawei eezypeezy just plug in my tmobile sim card and there my new phone be roll decent photos too really nice color too peacock color with free transparent case jgm star be a very good seller,huawei,1,1,0
367,buy for my wife now im jealous i wish it would have wifi call option then i would buy it for myself but i work in a bunker so have to use stupid samsung,huawei,0,0,1
368,get mom problem far almost 2 month,Iphone,0,0,1
369,ok,huawei,1,1,0
370,so cool and fast delivery,huawei,1,1,0
371,i have 4 months with the equipment and for 1 month the equipment have be heat with daily use and when i put it to charge the battery i do not understand why this happen the charger be the original with which i buy it and do not use the team for long hours and still heat up,huawei,0,0,1
372,product info as advertise like the screen resolution,huawei,1,1,0
373,i buy this phone and it do not work nearly anywhere in the state do not buy if you live in us ive have other huawei and honor phone that work fine but this one doesnt work nearly at all,huawei,0,0,1
374,phone be great if you dont need to connect to 4g internet or any i ternet for that matter cant message or receive message while away from home or not actually sign into someones network useless really keyboard be make for hobbit finger,huawei,0,0,1
375,excellente phone for the price a lot of space for applications and picture im able to play call of duty mobile without any problems picture quality be excellent sometimes it lag but not a big deal,huawei,1,1,0
376,pick this up for the girlfriend she love it and love the fact it doesnt look like everyone elses and be unique and it work flawlessly great camera and great reception and battery life,huawei,1,1,0
377,ship with open box item see photos,huawei,0,0,1
378,i can only say i have no reason to go back to samsung motorola or apple pack with feature you will only get flagship phone from other company the only con i have builtin battery,huawei,1,1,0
379,the color be so pretty get this for my mom because her old phone s battery be dead this smart be pretty cool and worth the money the price be cheap but the quality be really good highly recommend,huawei,1,1,0
380,just so well design lot of storage too fast,huawei,1,1,0
381,the only reason i didnt give it a fivestar be because i be not very good at read fineprint and this doesnt use any of the main carriers it work for service like boost,huawei,1,1,0
382,very good phone all round but the camera be just ok and the speed be just ok i trade up for a pixel 3a and an quite happy but if you prefer a better look phone this be it,huawei,1,1,0
383,i have the phone for over a month now and i have no complaints the picture quality be good for the price i charge once per day watch a lot of youtube in between charge the finger print reader only allow 1 finger it would have be nice if i could have the option to code another finger but i guess the face recognition make up for that,huawei,1,1,0
384,what can i say just 280 get the wonderful phone whatever battery screen resolution or the camera all better than samsung so valuable cell phone,huawei,1,1,0
385,this phone keep drop call and cut out for 510 second when in use when you call someone sit right next to you or have them call you the call will not go through return to sender,huawei,0,0,1
386,get this phone because i have hear the camera be amaze after use it for a month or 2 i can definitively say that the camera be not that great,huawei,0,0,1
387,best phone ive ever own picture quality be great so be the battery life easy to operate i be leary on buy a different brand but i love this hauwei phone would recommend it to anyone look to purchase a phone,huawei,1,1,0
388,give it as gift for my wife love it,huawei,1,1,0
389,know use phone price 700 look bad condition unfortunately take risk buy phone able see use happy purchase,Iphone,0,0,1
390,it be a cool device ive get alot of respect for huawei but this device be just to small and light compare to my oneplus devices downgrade due to shatter back of my oneplus 7 pro and financial woes,huawei,0,0,1
391,i like this phone the camera be very good and very useful for me and the stuff be awesome just i cant see the pattern password system but im in love with it,huawei,1,1,0
392,abs value and worth the money some feature have treat off for performance and resolution,huawei,1,1,0
393,i actually bout two for my family the huawei phone ta much much better picture than any phone out there i own all huawei phone and they be the finest phons out there no question ask the usgovernment have a very stupid position on these remarkable phone,huawei,1,1,0
394,this phone feel good in the hand and look nice with its display but do not be fool by the triple camera set up very poor quality in all settings the glass back give a nice flagship phone feel but stear clear of this model because its absolutely worthless with the camera very disappoint especially come from huawei,huawei,1,1,0
395,fingerprint sensor be so incredibly fast the cameras take beautiful crisp picture in extremely please and would definitely recommend to anyone want android os with a screen that be big and bright for a low price,huawei,1,1,0
396,i love this phone only complaint i have be i think the display quality especially for videos would be a lot better too pixelated 2nd the camera be decent biggest complaint no nfc and lastly when capture screenshots they come out really blurry same for the video record other than that pretty decent phone for the price,huawei,1,1,0
397,i like it its a cool cell phone,huawei,1,1,0
398,very nice phone and the best price,huawei,1,1,0
399,good buy,huawei,1,1,0
400,great smart phone great quality great price,huawei,1,1,0
401,i like the screen and camera its awesome,huawei,1,1,0
402,this be an awesome phone glad i order it my last huawei phone still work have it for 5 years cant live without it good price for a this phone,huawei,1,1,0
403,just switch from apple,huawei,1,1,0
404,solid performance battery life be average great camera incredible price present for my wife who love it,huawei,1,1,0
405,love it so far,huawei,1,1,0
406,great phone for the price,huawei,1,1,0
407,good cellphone of media,huawei,1,1,0
408,good,huawei,1,1,0
409,travel to other countries dual sim card unlock good camera 1 device only to keep track of all for a reasonable price,huawei,1,1,0
410,excelente,huawei,1,1,0
411,great phone,huawei,1,1,0
412,i love this phone i purchase it a month ago so far i be really happy with it the phone be very fast and user friendly with long last battery and nice quality camera i cant say anything negative about it,huawei,1,1,0
413,buy this for my husband he be love every bite of it,huawei,1,1,0
414,i get the phone for my girlfriend because she hat iphones she love this phone just as hi tech as the iphone and a way better camera super clear and with great definitioni would definitely recommend this phone to fam and friends,huawei,1,1,0
415,2nd purchase good produc,huawei,1,1,0
416,phone 33 day stop work reason pay 1000 phone unacceptable,Iphone,0,0,1
417,work great,huawei,1,1,0
418,great phone for the price my wife like it and the camera be amaze,huawei,1,1,0
419,have use the phone for a few weeks overall very good and meet the expectations decent battery life and screen,huawei,1,1,0
420,for the money you pay it be good phone one very disappoint item be this phone do not support 5ghz wifi,huawei,1,1,0
421,to bad there isnt wifi call this phone would be perfect for kid as its cheaper than most phone,huawei,1,1,0
422,great phone,huawei,1,1,0
423,great deal great product,huawei,1,1,0
424,this would be a great phone for that price with truly amaze feature if only it work for more than a few months the screen suddenly freeze and the phone be now stick on a bootloop for no reason have two huawei before and this never happen,huawei,1,1,0
425,good,huawei,1,1,0
426,so far this be a amaze phone experience really enjoy the camera only downside be there be no nfc so i cant use google pay,huawei,1,1,0
427,the detail should have indicate that 5ghz be not support other than that the phone work fine the camera have very good quality,huawei,1,1,0
428,excellent phone,huawei,1,1,0
429,great products cheap price,huawei,1,1,0
430,weve have it for a few days and so far this be a great phone with an awesome screen and feature run fast look nice work with our network and you cant beat the price the phone be completely worth it the only thing im not completely in love with be the camera be not bad it take pretty good picture but previously own a zte axon 7 and the quality be lower on the huawei y9 which we dont mind honestly since this huawei be not as expensive as the axon it be expect but for the price be definitely a must buy we be weary of buy it because we saw a couple review and answer say it might only take 2g or 3g but it receive a 4g signal and everything work smoothly we be currently use cricket wireless as our service provider we have only purchase one phone to check if we like it and if it work with cricket and now be ready to make another purchase because we love it,huawei,1,1,0
431,this phone be exactly what i be look for a very large bright screen loud speaker wish it have stereo speakers but hey no complaints here and even with 3 gigs of ram its still fast with the kirin 710 processor also cames with android oreo out of the box the huawei cloud service that they offer isnt available in the us but no big deal when google keep everything on their cloud i do use the help app to ask some question about settings and get answer back within in a few hours from huaweis help team overall a great phone at a great price buy it,huawei,1,1,0
432,closest phone to the honor 8x which isnt release in the us the screen be huge very bright the design be beautiful with blue back though which it be glass like the 8x the phone be fast and snappy though ram management be aggressive and you will be reload apps the battery life be phenomenal last 2 days sometimes people tell me at time they call me but i do not receive call if it wasnt for that i would give 5 star,huawei,1,1,0
433,at this price point you cant go wrong this be a quality phone without doubt large screen with good color saturation and clarity good sound a plethora of native settings to tweak the phone to suit your visual and performance need this be a not a samsung note 10 but for the feature and performance at a little over 200 this beat the brake off a phone that cost 600 more,huawei,1,1,0
434,i dislike the fact that the id im suppose to use with the phone isnt even available where i register the phone,huawei,0,0,1
435,absolutely worth buy phone have a smooth processor at that and run very smoothly it even have 64gb in internal storage who can beat that and its dual sim card along with ability to take move picture an option not available on the huawei y7 2019 i absolutely prefer the huawei y9 2019 over the huawei y7 2019 your videos show clear as daylight im able to stream videos at 1020p now i wasnt able to on the huawei y7 2019 now i can im definitely glad i make the switch i totally give this phone a rat of 5 star the processor and overall performance of this phone up there with phone that range between 500800 definitely recommend individuals to purchase this beautiful device sidenote i buy my huawei y9 2019 in the condition of use like new and boy this phone have no issue whatsoever or blemish,huawei,1,1,0
436,very poor phone battery be no good screen get freeze it selfdont buy it and i dont want your refund keep it for your self,huawei,0,0,1
437,this hone be buy for my 9 year old sister for the price it perform extremely well design be sleek and classy screen be big and bright speakers be quite loud,huawei,1,1,0
438,perfect quality of the thousand dollar phone for way less,huawei,1,1,0
439,i have be use smartphones since bb days from 2000 the display battery life camera speed exceptionally good comparable to iphone x my kid have it bluetooth work with my speaker system as well the car flawlessly few things would have be nice like power connector not so smooth sometimes i get sms message few minutes late but the price be absolutely unbeatable display be like a white paper kindle like,huawei,1,1,0
440,love the phone but cant give it 5 star as ive discover its not eligible to register with cloud service when you go to register it it ask your country and usa isnt a choice i call support and they acknowledge that fact and say to transfer my photos etc from my old phone i would have to install the app phone clone on both phone and go from there,huawei,1,1,0
441,i havent even get to set this phone up i just have to post about what a surprise open the box be include be a case screen protector a sim port key charger an american wall plug and earbuds holy cow such bang for the buck i be truly impress i will never buy american again,huawei,1,1,0
442,product be deliver precisely as describe the box be seal after a fast delivery after unbox i be able to configure the language of the phone to my own language camera be pretty great and i can play smoothly game without lag a micro simcard do not fit so i have to use a nano simcard now i can enjoy 3g 4g and 4g in my country also a 35mm audio jack be great so i can listen to my favourite music,huawei,1,1,0
443,the operate system seem to work fast and fairly well the only drawback be the battery life if everything be turn on the battery will run down pretty fast i saw one guy on the web test the battery life with the clock on this model its unbelievable,huawei,1,1,0
444,love the phone but my main issue be can anyone get straight talk work on this phone in us if so plz plz help with get service ps i hve try bootloader not work cant figure out how to get verizon off dis phone,huawei,1,1,0
445,excellent phone it be value of 1000 or more the best phone in the market of 2019 great battery life after register for sim card be 4g lte very fast very respond very smooth every thing be excellent i love it,huawei,1,1,0
446,i be in love with this phone battery last forever,huawei,1,1,0
447,im so disappointedive barely have this phone for 3 months and it no longer work the display have black out and i cannot do anything on it i dont recommend it,huawei,0,0,1
448,love this phone battery life be incredible and storage be so much better than my last phone cant find a better phone for the price,huawei,1,1,0
449,good,huawei,1,1,0
450,not even the top model for huawei annie kick the life out of any samsung or apple device,huawei,1,1,0
451,great phone love it use all day with music at work from 820 to 430 ish come back home battery still on 86 now that pretty f awesome i might say dont have to bring a charger with me as well and thats if your phone be fully charge up for that day,huawei,1,1,0
452,big screen long battery i wish it be a little bite faster but it hold up well for the most part only run into a few bug here and there nothing a restart cant fix it restart very fast too decent camera quality overall great for the price,huawei,1,1,0
453,phone be amaze thus far set up be kind of difficult but afterwards best phone i have have to date,huawei,1,1,0
454,phone be fast no glitches take great pics sound quality be great i would recommend this phone,huawei,1,1,0
455,great phone super battery and easy connectivity with every nework good photos look beautiful,huawei,1,1,0
456,hubby love it,huawei,1,1,0
457,not unlock contact multiple gsm network contact company and they couldnt care less,huawei,0,0,1
458,this model be not work properly with metro pcs i try 2 different new phone often incoming call go to voicemail,huawei,0,0,1
459,i love the large screen with so many great feature and easy to navigate love the teal color too i have cricket cell phone service and everything transfer over very easy,huawei,1,1,0
460,i get this for my ten year old hes not complain,huawei,1,1,0
461,awesome phone quality picture great buy,huawei,1,1,0
462,like it,huawei,1,1,0
463,unusable phone guarantee least 80 battery life remain receive phone dead charger hour turn set battery menu say 70 battery life phone shut 93 charge spend 300 paperweight,Iphone,0,0,1
464,it doesnt work with 4g in afghanistan and may it wont in most asian and european countries i just waste my money for nothing,huawei,0,0,1
465,nice big screen,huawei,1,1,0
466,great cell,huawei,1,1,0
467,great phone highly recommend,huawei,1,1,0
468,it be simply the best it be unlock to work in honduras and everything be perfect,huawei,1,1,0
469,i just love my new phone i just cant wait to show it to my friends and i love all the feature,huawei,1,1,0
470,response time be awesome,huawei,1,1,0
471,amaze phone i wont be go back to any other kind of phone,huawei,1,1,0
472,very good celular by the cost the camera could be better but be enough good,huawei,1,1,0
473,good budget phone work great camera ok bang for the buck,huawei,1,1,0
474,great phone blow everything else out the water for the price,huawei,1,1,0
475,awesome phone,huawei,1,1,0
476,very good celular by the cost the camera could be better but be enough good,huawei,1,1,0
477,perfect,huawei,1,1,0
478,one of the phone do not work do not get signal and the camera do not work,huawei,0,0,1
479,large screen,huawei,1,1,0
480,great phone everything as advertise,huawei,1,1,0
481,nice phone,huawei,1,1,0
482,love this phone super customizable have huawei and google store come with a case and headphones color be super cute and the battery last all day with heavy use the camera be not the worst but wish it be better in low light of course its a budget phone but well worth money pay face id sensor work great the only downside be no nfc which mean no google pay as it be in a low of huawei phone due to security reason which could be bogus but overall an awesome piece of equipment fit 2 sim card and excpandable storage huge bright and crisp display i really like this phone,huawei,1,1,0
483,great phone for the money can t beat it,huawei,1,1,0
484,i buy it for my wife she be delight with the phone it be very fast it do not lag,huawei,1,1,0
485,love this phone great battery,huawei,1,1,0
486,beautiful phone very responsive large screen have not really have time to test the camera but it should be more than adequate its only be several days but very happy with the purchase,huawei,1,1,0
487,amaze phone and great price,huawei,1,1,0
488,excellent product fast service the cell phone be very fast plenty of storage,huawei,1,1,0
489,nice phone my daughter love it,huawei,1,1,0
490,good product easy to operate,huawei,1,1,0
491,it be perfect,huawei,1,1,0
492,perfect,huawei,1,1,0
493,very nice phone,huawei,1,1,0
494,first off just want to say how helpful the seller be i order this and due to an address issue it be return and refund this be an issue on my end the seller be very responsive i do order it again it come next day as say now about the phone im really love it fit in the hand very nicely the cameras be amaze the sound quality be decent the back glass be stun even more so in person great battery too in the end im happy and dont regret order it twice,huawei,1,1,0
495,my son love everything about this phone we live in missouri and use att service,huawei,1,1,0
496,100 satisfecho con el producto envío super rápido ninguna queja justo como la descripción 100 recomendado,huawei,1,1,0
497,my honor 20 didnt come with wonder outfit but the smartphone be very good and new,huawei,1,1,0
498,great phone,huawei,1,1,0
499,i regret buy this phone too small im use to the honor 8x size and weight be that i cant get another one of those im trade this honor 20 in for the 9x hopefully its as great as my 8x be before it accidentally break never miss the water until the well run dry man i should have get insurance,huawei,0,0,1
500,great picture good phone at good price,huawei,1,1,0
501,funciona perfecto,huawei,1,1,0
502,phone have really good camera work like a champ but the service seem to be in and out tmobile,huawei,1,1,0
503,absolutely love this phone everyone ask where i get it,huawei,1,1,0
504,seller assure me in write it be fully tmobile compatible i even pay extra for that even have a tmobile sticker place over att sticker 1st problem boot up with att logo 2nd problem i have to delete or shut off as much att crap that i could find 3rd problem do not support wifi call at all call tmobile and speak an engineer phone cant be make compatible hardware chipset for wifi call be design specificly for att cant be modify dont take my word for it try if you want just give honest and technically accurate feedback buyer beware if you have tmobile bk,LG,1,1,0
505,use device in eu phone be gsm unlock and everythings work the only thing youll need be to set up apn to your specific mobile network provider and disable the att bloatware flash the phone with ulm kdz firmware be quite easy tutorials can be find online and have an option to keep the exist file it will remove all the bloatware and make the phone eligible to the upcoming android pie update recommend update 050819 can now be updatable to android 9 by flash firmware version v350ulm20d aware exist filesapplications will be remove if necessary an lg backup can be make on sd card to later be restore,LG,1,1,0
506,this be a wonderful phone at a great price i refuse to spend the ridiculous amount of money that samsung and apple charge for their phone this phone be just as good if not better i have cricket take it out of the box plug in my sim card and it work perfectly with no issue excellent battery life and great camera there be tons of things you can do to customize it it be the best phone i have ever own it also come in 1 day from amazon with free prime ship,LG,1,1,0
507,i look over a lot of phone look for a replacement age nexus 6 pocophone look good but have questionable carrier compatibility and a lot of other unlock phone in the 300400 range all the budget phone have some serious down side miss some key feature or just a low spec components then i stumble on to the lg v35 and specs be on par with much pricier phone the screen be oled witch i prefer and better than 1080 have expandable memory cameras very good battery hold charge for a long time i be a little worry about lg as have bad experience with nexus 5x in the past but look at the review those issue be resolve i also look at the v40 but not a fan of the notch and it be more money with similar specs so my opinion be this be the best phone for the money right now yes its be release a year ago but compare to current phone in the price range v35 beat them no question it be odd that this phone be not more popular i guess at release 900 price tag scar people and then it fade out of the spotlight what i do not like i be come from a 6 inch phone the older wider screen this screen be a little narrower it be still good size length wise about the same when watch youtube vertically feel like a smaller screen it be a little less bright than my old phone could be a good thing as nexus be too bright at lowest set when use at night come off of stock android i dont like lg and att bloatware and skin the shareware be not a deal breaker nothing that cant be work around but think i mention it so im happy with the purchase and with the better components this phone should last me for a while highly recommend this phone,LG,1,1,0
508,phone be great but its an att phone come with their bloatware and splash screen i have their service so thats fine but beware i doubt its unlock,LG,1,1,0
509,wasnt new,LG,0,0,1
510,i be not a techie i have my lg optimus prog for about 4 years and be very happy with it it take me a long time to finally settle on this phone and i love it it be very easy to set up and use im still learn all the things this phone can do im happy with the camera and the music player and speakers,LG,1,1,0
511,buy phone to replace a 3 year old moto g3 which be lose battery capacity and have problems with the speaker phone be comparable to high end phone but at 299 be much cheaper i have an att service but i be not able to get the hotspot nor the wifi call to work turn out it be due to my older sim card not support 4g and my imei not match the one on my att account a quick trip to the att store and the sim card be replace and the imei change in the system and now all work well edit its be 2 months and i still like this phone i purchase a second one for my wife there be a couple of minor annoyances the automatic brightness control dim the display a little too much in dark room its suppose to learn base on my adjustments over time but in spite of my adjust it every time it still dim it a bite too much also i have set up the phone to unlock when the screen be tap twice but it keep wake up and call 911 when it bounce around in my pocket so i turn off the double tap wake up feature,LG,0,0,1
512,quiet speaker and slow camera,LG,0,0,1
513,just receive the phone yesterday it look like brand new but the box come not seal everything be okay until i check the camera and try it in the lowlight room and then there s this thing show when i want to take a picture it look like a big purple tint in the leave of the camera it only show when use it near object between 14cm and when the autofocus be work i have find several issue on xda and find out this be some kind of ir laser work for autofocus but mine be worst and it ruin the picture when it show in low light condition i have check the wide lens and find it too but it s just little and hard to notice maybe i get a defective one so i want to return this and give it one more try,LG,0,0,1
514,i will have a small review below this message and my information for tracfonenonatt users below the primary phone review this phone at only 300 be a solid device compare to other midrange phone release in 2019 after 2 weeks of use i can say that this be an excellent choice for people who want the snapdragon 845s performance at a somewhat affordable price lgs os be another bonus feel close to stock android and feel super fast android 9 greatly increase the speed and add nice extra feature but there sadly be no darknight mode to conserve battery the cameras be amaze and get even better when you port google camera over to it the build quality be solid but without a case it be quite a fingerprint magnet sound from bluetooth and the 35mm headphone jack be well above average with loud and clean audio the screen 6 inch display at 2880x1440 resolution look amaze and content from snapchat facebook and instagram look great with accurate color the biggest downside to the device be that the battery isnt very impressive for the price and if battery be a serious concern for you id get a samsung a70 the phone 18w fast charge capabilities help quite a bite with average charge time be around 1 hour and 20 minutes from 0 to 100 overall this phone be excellent and provide high end feature in an affordable midrange package a message to all tracfonenonatt service users this be an att brand phone while it be gsm unlock it still run off of atts network and all phone update android 9 pie and security update all come from att and will not be available until you be on their network this do not mean you need att to get the update but you do need an att compatible sim card from your service providers bring your own phone program to receive them after set up the sim card in the new phone youll need to create an apn to use mobile data at least i need to on tracfone after the phone be fully functional with call text and mobile data you should receive the update within 25 days after activate the phone with your service provider again as long as you buy and activate the phone with an att brand sim card you will receive all available update for your phone my phone take 2 days to receive the update and i have have no problems with tracfones service,LG,1,1,0
515,first of all i want to clear up some stuff about the carrier of this phone the version of the phone that be be sell here be the v35pawm the att unlock version of the phone from what i understand it will work with gsm carriers without modification however i want to use the phone with google fi it be quite easy in this case to flash the phone with the v35oulm kdz find here no urls allow in review but it can be find on the lg firmwares website i use the tutorial on the flash stock roms website to be clear the phone should work with gsm carriers without this process however three be some advantage of flash the kdz no more att bloatware quicker update i have hear that some people use the att software with a different carrier be not get the android 9 update for google fi specifically some feature of the service be not available without use a completely compatible phone flash the oulm software make the phone completely unlock and compatible now about the device itself i buy this to replace a pixel 1 hat have pick up in preparation for an extend trip to europe however the pixel 1 be very buggy and rather outdated the lg v35 have more than effectively replace that phone with the update kdz it actually seem to work better with fi than the picel do and the breadth of options within the os be overwhelm in a positive way the screen resolution can be change along with the way the volume interface work for example another nice touch be lgs theme options i be use a theme call pix color this apply a system wide dark mode and also make the on screen button look like those on the pixel a design that i prefer to lgs however the button can be hide to take advantage of the whole screen retaliate something that can not be do on the pixel devices and some other android phone speak of the screen it be huge and beautiful the pole panel look quite good my only complaint about the phone so far be actually that i think it be a bite too big though i realize that be the current design trend i much prefer the size of the lg g6 that i use to use great phone overall no real complaints so far,LG,1,1,0
516,i have to give my iphone 7 to my son have no desire to spend 1000 or eve 750 for a new flagship phone saw this one at 299 think why not the phone be every bite as good as the review lead me to believe it would be the screen be amaze so much bigger brighter and more dynamic than my old iphones be its fast smooth and have an excellent camera im not really a heavy phone user but i do spend some time every day on duo to video chat with my kid read news feed check email play some light game call text quite a bite and the battery always last the full day unfortunately im have to return the phone simply because its so much bigger than my iphone be once i put a case on it it be just too big too carry around in my work environment if i spend much time watch youtube videos or play graphic intensive game i wouldnt hesitate to keep this phone the screen and processor be that good ill probably just end up play it safe and get a refurbish iphone 7 even though it cost more than this one and have a smaller less vivid lcd screen i would recommend this phone and this seller though without hesitation to anyone in the market for a flagship level phone at a midrange price especially if theyre use to todays phone size range be on the big side,LG,1,1,0
517,what be this device buy from mobileexpress buy use however scratch on the screen where not disclose upfront and the fact that it be an att phone be not disclose either and theres no android 9 update while my friends do receive it usbc to hdmi be not work i cannot recommend such device far less from this seller,LG,1,1,0
518,im quite happy with this phone particularly for the money my most recent previous phone be a samsung galaxy 6 s active then a galaxy 7 active i like both of those phone good feature and very rugged design but after the 7 develop line in the screen twice and samsung wouldnt repair it the second time though its a know issue with that model i decide to bail on them and try something different the v35 have some good point fast charge with qi capability real headphone jack and expandable memory be the main sell point for me its definitely an att phone which im ok with as im with att and will be in the foreseeable future with my wifes corporate discount i get 5g connectivity in most of the part of chicago i frequent even surprisingly in the downtown subway the wifi call work well which it didnt with the samsungs the screen be fine good color and resolution i rarely watch any video on it but when i have its be ok the speaker be pretty wimpy i do wish it be louder if the phone be in another room theres a pretty good chance i wont hear it when i have a call or notification the samsungs be definitely louder bluetooth audio be good and work well in my car the camera be ok though the pixel count be similar to my dslr its no contest when you look at the same scene photograph with the two of them no surprise there but it show you pixel count be a bad way to compare digital cameras color accuracy be soso but i dont care all that much as i wont use it for anything important my only real negative be the rear power button fingerprint reader im adapt but would definitely prefer a side power button battery life be ok but not anything special the fast charge offset that somewhat when it get low you can get back up to 100 with a quickness even use the qi charge one thing i do really like be the 2 year warranty if they trust their engineer enough to offer that warranty it make me believe the phone be pretty well construct so overall for the 300 clam it run me im very satisfy and can recommend it as a good value for the money,LG,1,1,0
519,the phone be in fact new and unlock work very well with straight talk remember to punch out the nanosized card and place it in the slot at the front of the sim holder after you get set up with the carrier you will need to google the apn settings for that carrier and manually enter them into the phone a high quality phone at a super price,LG,1,1,0
520,ive have the phone for about 2 weeks now in general i love the phone so far it be unlock and easy to set up on the att service that i have there be preloaded apps but i have be able to remove ones i dont want although i have only remove a couple so im not sure if they be all removablethe only thing im not fond of be the stationary screen to the leave of home but apparently that be become the standard for almost all phone and be something i will get use to the battery life be goodi think it might be better but to be honest i use my phone like a mini computer and play on it a lot no major concern or complaints,LG,1,1,0
521,if you be an att customer this be a great deal great specs on the phone for a bargain price definitely happy with this purchase,LG,1,1,0
522,first off this be a great device for the price for the week or so i use it i be very happy with the performance and battery life ultimately i return the unit because even though it be unlock it still have the att firmware load you be not able to update firmware on the device unless you have att service or an active att sim i should have do more research before i buy this one as this seem to be a widely know issue personally be stick on a year old firmware without ability to get later versions or security update be a big issue,LG,1,1,0
523,i accidentally drown my lg v40 need to replace it after do some research i find this to be the best deal at 300 this be a high end phone at midrange price a 800 plus phone do not have much more to justify the price im satisfy with my purchasesuch a underrate phone im with att and all work perfect happy to have android pie 90 for those on another carrier and unable to update to 90why not buy a cheap att pre pay card and update another option would be to borrow a friends att sim card and update,LG,1,1,0
524,hi all i be in the market for a new unlock phone a coworker show me his v35 think it look great since i be an att prepay customer this phone be perfect as it be an att phone now people can actually reach me pull the phone out of the lockerat work and see miss call and text message receive the sony keep loose the connection the only real issue i have with it be the finger print reader cant read mine might not be the phone when i work as a dod civilian they have trouble get my fingerprint for my id take them several try after the 2nd attempt at set mine up i give up on it and choose a pin even connect it to my 2019 hyundai kona,LG,1,1,0
525,it work with freedom mobile and be roam on att great cellphone and it be a steal even for 380 update of 032020 still run strong great screen and screen size good cameras great battery life and a very fast and smooth performance,LG,1,1,0
526,i receive a brand new lg v35 thinq phone with charger in a seal box it be att brand with their software instal which be fine for me because i use att for service i just couldnt bring myself to pay what att want for the exact same phone in their store put my sim card in and after several software update everything be work great include volte and wifi call with a postpaid account i cant attest to it be unlock as i have not try another carriers sim card in it im come from an older moto x and find the lg interface just as intuitive great android experience at a fantastic price,LG,1,1,0
527,be use it a couple days now no issue i think lg hit a home run with this one prosall good for me consnothing at this point if anything change i will re post i do not rate finger print reader as i do not use it my job itadmin and support 25 years im on phone a lot first day i use it i bet screen never go off set for 10 min to sleep have 20 leave bout 9 hours 12 bright wifion dataon locationon bton it charge up in apox 1hr and change it do upgrade to 9 pie and that seem stable to so far i use a regular panasonic bt phone at home so i do not have to carry this one around and use bt and wifi data and call at same time be no problem smooth and clear my old phone have issue do this all at once thx lg,LG,1,1,0
528,i love this phone its amaze and its such a great value the battery last two days on one charge with normal usage browse and chat throughout the day no call lot of email and twitter the screen be gorgeous the fingerprint reader work like a champ i have absolutely zero complaints about this phone its amaze and i love it,LG,1,1,0
529,the headphone jack just stop work before the phone be a year old the socket be now completely loose headphone jack no longer snap in and the phone will no longer recognize any set of headphones i try to plug in it now only play through the phone speaker i choose this phone for its high quality dac to listen to music at work and when i travel originally i be please with it it use to produce noticeably more clarity than my laptop or previous phone when use the same headphones oppo pm3 and music file i want the phone to last and try to be gentle when plug and unplug the headphones which i would do perhaps 23 time a day on workdays originally the battery would hold its charge for 23 days with bluetooth and wireless enable but very few applications run 9 months later under the same usage it will last less than a day give the strongly seal case the battery do not appear to be replaceable at least by myself perhaps a repair shop can but i have hop to get a longer life then 9 months before the battery begin to degrade so noticeably everything else about the phone be between good and very good the screen be very good the primary camera be okay not great in the dark even with flash i do like that this phone come with fewer bloat apps to disable and remove than my previous samsung phone though it still have quite a few,LG,0,0,1
530,i literally buy this on the day that apple release the new ios 13 updateand my iphone 6 wasnt able to download that updateor an future update i have have enough of apple tell me when its time to purchase a new iphone so i research alternatives after a lot of collaborate i land here the lg v35 thinq i be so happy that i do my homework good battery life amaze camera great sound wifi and bluetooth connection which be really important to me you be a fool if you pay 1000 for a phone that you can get for 300 the only downside for me i be on 3 network im use this phone in the usa and i prefer use att rather than tmobile as i be on feel at home it doesnt seem to stay on att no matter if i manually choose it or not it always switch to tmobile anyways that be a minor conveniencei love this phone goodbye apple,LG,1,1,0
